time,current
1669220064,83.33e-6
1669220065,83.33e-6
1669220065,82.93e-6
1669220065,83.73e-6
1669220065,82.53e-6
1669220066,82.93e-6
1669220066,83.73e-6
1669220066,82.93e-6
1669220066,82.93e-6
1669220067,83.73e-6
1669220067,83.33e-6
1669220067,83.33e-6
1669220067,82.93e-6
1669220068,83.33e-6
1669220068,83.33e-6
1669220068,82.93e-6
1669220068,83.33e-6
1669220069,83.33e-6
1669220069,82.93e-6
1669220069,83.33e-6
1669220069,84.14e-6
1669220070,83.33e-6
1669220070,82.93e-6
1669220070,83.73e-6
1669220070,83.73e-6
1669220071,82.53e-6
1669220071,83.73e-6
1669220071,83.73e-6
1669220071,82.53e-6
1669220072,84.14e-6
1669220072,83.73e-6
1669220072,81.72e-6
